Date,SP500,Dividend,Earnings,Consumer Price Index,Long Interest Rate,Real Price,Real Dividend,Real Earnings,P/E10
1871-01-01,4.44,0.26,0.4,12.46,5.32,84.7,4.96,7.63,
1871-02-01,4.5,0.26,0.4,12.84,5.32,83.3,4.81,7.4,
1871-03-01,4.61,0.26,0.4,13.03,5.33,84.09,4.74,7.3,
1871-04-01,4.74,0.26,0.4,12.56,5.33,89.73,4.92,7.57,
1871-05-01,4.86,0.26,0.4,12.27,5.33,94.14,5.04,7.75,
1871-06-01,4.82,0.26,0.4,12.08,5.34,94.84,5.12,7.87,
1871-07-01,4.73,0.26,0.4,12.08,5.34,93.07,5.12,7.87,
1871-08-01,4.79,0.26,0.4,11.89,5.34,95.76,5.2,8.0,
1871-09-01,4.84,0.26,0.4,12.18,5.35,94.49,5.08,7.81,
1871-10-01,4.59,0.26,0.4,12.37,5.35,88.23,5.0,7.69,
1871-11-01,4.64,0.26,0.4,12.37,5.35,89.19,5.0,7.69,
1871-12-01,4.74,0.26,0.4,12.65,5.36,89.06,4.89,7.52,
1872-01-01,4.86,0.26,0.4,12.65,5.36,91.31,4.95,7.56,
1872-02-01,4.88,0.27,0.41,12.65,5.38,91.69,5.01,7.61,
1872-03-01,5.04,0.27,0.41,12.84,5.4,93.29,5.0,7.54,
1872-04-01,5.18,0.27,0.41,13.13,5.42,93.8,4.95,7.42,
1872-05-01,5.18,0.28,0.41,13.13,5.43,93.8,5.01,7.47,
1872-06-01,5.13,0.28,0.41,13.03,5.45,93.57,5.11,7.57,
1872-07-01,5.1,0.28,0.42,12.84,5.47,94.4,5.24,7.73,
1872-08-01,5.04,0.29,0.42,12.94,5.49,92.61,5.27,7.72,
1872-09-01,4.95,0.29,0.42,13.03,5.51,90.29,5.29,7.71,
1872-10-01,4.97,0.29,0.42,12.75,5.52,92.68,5.47,7.93,
1872-11-01,4.95,0.3,0.43,13.13,5.54,89.63,5.37,7.74,
1872-12-01,5.07,0.3,0.43,12.94,5.56,93.16,5.51,7.9,
1873-01-01,5.11,0.3,0.43,12.94,5.58,93.89,5.56,7.95,
1873-02-01,5.15,0.3,0.43,13.23,5.57,92.59,5.48,7.82,
1873-03-01,5.11,0.31,0.44,13.23,5.56,91.87,5.53,7.87,
1873-04-01,5.04,0.31,0.44,13.23,5.55,90.61,5.57,7.91,
1873-05-01,5.05,0.31,0.44,12.94,5.54,92.79,5.74,8.13,
1873-06-01,4.98,0.32,0.45,12.56,5.53,94.28,5.96,8.42,
1873-07-01,4.97,0.32,0.45,12.56,5.53,94.09,6.01,8.47,
1873-08-01,4.97,0.32,0.45,12.56,5.52,94.09,6.06,8.52,
1873-09-01,4.59,0.32,0.45,12.56,5.51,86.89,6.11,8.57,
1873-10-01,4.19,0.33,0.46,12.27,5.5,81.17,6.3,8.81,
1873-11-01,4.04,0.33,0.46,11.89,5.49,80.76,6.55,9.15,
1873-12-01,4.42,0.33,0.46,12.18,5.48,86.29,6.44,8.98,
1874-01-01,4.66,0.33,0.46,12.37,5.47,89.58,6.34,8.84,
1874-02-01,4.8,0.33,0.46,12.37,5.44,92.27,6.34,8.84,
1874-03-01,4.73,0.33,0.46,12.37,5.4,90.92,6.34,8.84,
1874-04-01,4.6,0.33,0.46,12.18,5.37,89.8,6.44,8.98,
1874-05-01,4.48,0.33,0.46,12.08,5.34,88.15,6.49,9.05,
1874-06-01,4.46,0.33,0.46,11.8,5.3,89.88,6.65,9.27,
1874-07-01,4.46,0.33,0.46,11.89,5.27,89.16,6.6,9.2,
1874-08-01,4.47,0.33,0.46,11.8,5.24,90.08,6.65,9.27,
1874-09-01,4.54,0.33,0.46,11.8,5.2,91.49,6.65,9.27,
1874-10-01,4.53,0.33,0.46,11.61,5.17,92.79,6.76,9.42,
1874-11-01,4.57,0.33,0.46,11.51,5.14,94.38,6.82,9.5,
1874-12-01,4.54,0.33,0.46,11.51,5.1,93.76,6.82,9.5,
1875-01-01,4.54,0.33,0.45,11.51,5.07,93.76,6.76,9.33,
1875-02-01,4.53,0.33,0.44,11.51,5.03,93.55,6.71,9.16,
1875-03-01,4.59,0.32,0.43,11.51,4.99,94.79,6.66,8.98,
1875-04-01,4.65,0.32,0.43,11.61,4.95,95.25,6.55,8.74,
1875-05-01,4.47,0.32,0.42,11.32,4.91,93.87,6.67,8.78,
1875-06-01,4.38,0.32,0.41,11.13,4.87,93.55,6.73,8.76,
1875-07-01,4.39,0.31,0.4,11.13,4.83,93.76,6.67,8.58,
